"a_y","a_z","a_x"
0.6221307034,0.1738913385,0.3921274234
0.5837495376,0.2732934797,0.2987614417
0.6156482384,0.1976529006,0.328553133
0.5957702838,0.2403990326,0.3661098543
0.5446524681,0.2294988553,0.442985722
0.6905361161,0.1641044272,0.3781355524
0.6453495274,0.2488421176,0.2853666377
0.6714757725,0.1837927225,0.355083516
0.644918705,0.1650012322,0.3421238777
0.6118692822,0.2466745987,0.3416533138
0.4746562888,0.4054235573,0.2813174488
0.5529121337,0.2804203231,0.3425550204
0.537940927,0.1849392199,0.3911231766
0.6679801278,0.208947555,0.3590652122
0.5685236532,0.2545315622,0.2950011828
0.6341112757,0.2197593926,0.2746086046
0.7187882018,0.2402383616,0.2429896514
0.6506825617,0.2593719825,0.2968864383
0.6393548936,0.2857187783,0.2728809753
0.5548403946,0.242914097,0.3754167606
0.5690427919,0.2520487511,0.3381052976
0.283063381,0.5634794666,0.2799688115
0.6661950102,0.1966169575,0.2755975323
0.669756535,0.1922577822,0.3065848949
0.6507987668,0.2759197693,0.2878645576
0.6306085186,0.2227288388,0.3766739633
0.6810108437,0.2125669588,0.2915214276
0.6345314384,0.1594676982,0.302323428
0.7490033493,0.2585156947,0.2565484689
0.6449978818,0.2294781478,0.3386519377
0.6267763391,0.3143630375,0.2456175732
0.7292477608,0.1636152385,0.3546279538
0.6321991445,0.1696242649,0.3750105957
0.4975162939,0.3467124425,0.3114020358
0.6609987754,0.2596854245,0.2490578747
0.666944217,0.2408703117,0.3398529192
0.6485972217,0.1781946469,0.2405152229
0.6506800349,0.1302972791,0.1380675424
0.6101538376,0.2282526434,0.3887739118
0.5640126953,0.2788665901,0.3511386051
0.6264226985,0.2400605785,0.3468392425
0.6813918339,0.1688917954,0.3511543295
0.6332095063,0.1976838534,0.3462797626
0.6855613007,0.1962979871,0.3030613107
0.5944940481,0.274023116,0.3362420354
0.6766107189,0.228300187,0.2812158279
0.6277583029,0.2280850832,0.340866454
0.5954505271,0.2500210378,0.3673632261
0.6602018487,0.2710134596,0.2591167913
0.6346769799,0.1873775265,0.3829649663
0.6473938605,0.2410436333,0.322316282
0.5578304799,0.250751271,0.3883926736
0.6018020953,0.2624782902,0.3061793888
0.6412716696,0.2245208293,0.2761104966
0.685250331,0.1442929082,0.2772634404
0.5542244055,0.3096179005,0.3329120268
0.6267271196,0.2206381575,0.2625409079
0.639212953,0.1641748102,0.3966853485
0.6709408782,0.1414299194,0.3836486565
0.6216649586,0.2411772635,0.3499942607
0.5896443731,0.2960139763,0.2964493541
0.6865430975,0.2185662711,0.2766547981
0.5512959356,0.3073290785,0.2627044308
0.6426224848,0.1968792832,0.2329534482
0.5847962491,0.2955856166,0.3024051422
0.3995594764,0.3859695751,0.3988777089
0.642008439,0.1637756991,0.3797917713
0.6676854898,0.2037122873,0.3441422954
0.6838001591,0.2312574246,0.2450432019
0.6709001939,0.2157703076,0.3457210696
0.4909930112,0.4148177796,0.2563358842
0.6849920652,0.2287434859,0.2711319665
0.5379473952,0.2763754311,0.3149031943
0.6600463436,0.2217809574,0.3354895182
0.6245968823,0.2386197464,0.2602040038
0.5014834014,0.3225575725,0.3487694065
0.5275915978,0.3679882814,0.1450852278
0.6908190372,0.2664876026,0.3458835671
0.6586748721,0.2165296901,0.3125284527
0.6202871081,0.2654773112,0.296444589
0.6502199941,0.2435649398,0.2836076303
0.6664613776,0.1938139208,0.3635220495
0.6944802766,0.1357748281,0.2888400326
0.6972690975,0.1684643396,0.2949213928
0.4200207058,0.3778749973,0.3603557074
0.5776321164,0.3400481779,0.3395521594
0.5605232817,0.2398701313,0.372716951
0.6560486104,0.1707128643,0.3402760447
0.670762017,0.2285293917,0.3257987402
0.5922691186,0.2390397262,0.341988489
0.5825200842,0.2113808365,0.3829700878
0.6466561114,0.1623923666,0.3494887453
0.6347016004,0.219478623,0.3623433148
0.5695880622,0.2407296679,0.3048820321
0.5601547552,0.3036971874,0.3271339536
0.7150609659,0.2439318679,0.2813797432
0.6114122994,0.2916776461,0.3083570629
0.6599307859,0.2285690723,0.2798597453
0.4682335913,0.2758412485,0.3037236839
0.64890642,0.2302404037,0.313328897
0.6003198444,0.2603751566,0.2899290184
0.5279427723,0.3004448108,0.3382991161
0.6285496587,0.2466727933,0.2951774468
0.6400426328,0.2356581258,0.3565753047
0.5274621272,0.2176654034,0.4336206017
0.7117941528,0.2248267427,0.2851606989
0.6508369779,0.2136368533,0.3193617714
0.6772814197,0.2600094082,0.2142016304
0.6667591217,0.1518043331,0.3490771412
0.6357436431,0.1343415011,0.4047555776
0.602031945,0.2670844495,0.304248523
0.5834366018,0.2531672586,0.2594047996
0.6412157835,0.2110393297,0.3691022131
0.692431003,0.1690290188,0.3493445475
0.6134045936,0.2637968535,0.2857018106
0.4979007728,0.289876945,0.3390769336
0.6874741822,0.2237011889,0.2974328621
0.5990337718,0.3190798549,0.2872603415
0.642756809,0.2137136207,0.3312697776
0.5849002706,0.2262717095,0.351804328
0.6467074155,0.183626362,0.3898411793
0.6582112013,0.2635715232,0.2904920679
0.6283748224,0.2668562917,0.2903844568
0.5070294545,0.2972658485,0.2652192048
0.6995141465,0.2101812496,0.3218305888
0.6584641272,0.2042994702,0.2309509778
0.5955578396,0.2687585859,0.3425583737
0.6809887578,0.1753417599,0.3349384399
0.5576232396,0.3030581206,0.3471220051
0.5937051219,0.210391336,0.384486233
0.6210559749,0.2616234777,0.3021929136
0.5969144732,0.2085898933,0.3695009535
0.6742784576,0.197516888,0.3076490888
0.552258094,0.2484713903,0.3255758763
0.6395797273,0.2043425262,0.3207176784
0.4598131141,0.3283518569,0.3551338599
0.6735727367,0.1760913086,0.3541384103
0.6874211966,0.2072370209,0.2824275196
0.6571908172,0.1343070986,0.3536528503
0.6643973467,0.1734016208,0.3699766856
0.6031777899,0.2247535407,0.2905839639
0.6626099361,0.2266122387,0.2577892702
0.6691266552,0.186063023,0.2447676598
0.5474365993,0.3189726639,0.3629698788
0.5941508807,0.2091851109,0.3857136776
0.6267552,0.2381992385,0.3320090103
0.6457662961,0.2112893041,0.2708217382
0.612287005,0.2593431468,0.2890264323
0.6910089943,0.1904857507,0.2985453247
0.7196501155,0.2146960173,0.3475708885
0.6261149048,0.2303925094,0.3170411588
0.6298900039,0.3004165821,0.285214672
0.6745167781,0.219728403,0.2957442658
0.6594788023,0.2126707693,0.3257398935
0.5162782675,0.2284053668,0.4187437502
0.5832104378,0.2714031799,0.3305663309
0.6767063899,0.1872858242,0.2936896886
0.5889279382,0.2367160256,0.3408666456
0.6541365583,0.1742807413,0.3509702431
0.6647967216,0.2071328979,0.3486830855
0.7024382509,0.1338000175,0.4201782174
0.5933095258,0.1819561422,0.3768224565
0.6356046831,0.2428900154,0.2958403443
0.6952051035,0.1539345211,0.3256342282
0.6403481263,0.2655046273,0.319807336
0.6499348457,0.199815315,0.3032928471
0.7092360317,0.1271462025,0.4263873259
0.5947905058,0.1629172062,0.413122637
0.714084268,0.1920218995,0.31699095
0.6071539927,0.2626336593,0.2918790877
0.7025451896,0.1762164655,0.2825678903
0.6218123065,0.2901512807,0.3008689015
0.6698866376,0.2343300813,0.2828005132
0.6434179482,0.1919569048,0.3642175535
0.6108390675,0.1713213111,0.3886931971
0.6387335544,0.1922204972,0.3136158467
0.6809262401,0.1548203547,0.3633068615
0.7624525471,0.1709244626,0.3029610798
0.5639211633,0.243118031,0.3998292453
0.6225549953,0.1514290882,0.2578771388
0.5803863956,0.3073040803,0.2920961582
0.6980516331,0.1901522618,0.2839323761
0.6699605172,0.245277582,0.2692452188
0.624014171,0.2048903739,0.2963541327
0.633446133,0.2649154761,0.2549226871
0.5355248532,0.2198250588,0.4404439696
0.6725890622,0.2127549209,0.2930870895
0.4759996372,0.3907904532,0.322257141
0.582700939,0.1890917644,0.4088477367
0.4976374902,0.3698233701,0.3193279233
0.6703652438,0.2149542078,0.3618565357
0.7103653635,0.1674397727,0.3009727096
0.4705474368,0.2928461419,0.401291771
0.6055579683,0.2120096998,0.4086198819
0.6454444775,0.273239728,0.2678740975
0.6150310881,0.2151914199,0.352707885
0.6729521716,0.2034828846,0.3588083807
0.655742573,0.1742677605,0.3336863178
0.7420664519,0.171537285,0.3047765906
0.6215891213,0.2676099965,0.2408694638
0.5724427976,0.2231781646,0.3758163897
0.5649298385,0.2340965537,0.4171091204
0.6334736535,0.2124214369,0.3401787412
0.5606652055,0.30840684,0.2802654408
0.6440653885,0.1765172854,0.3633026531
0.6330322698,0.2040301892,0.2819015282
0.5808149696,0.2460515307,0.2891519244
0.6571987427,0.2451701695,0.2364700566
0.6338458685,0.2325942945,0.3170414757
0.6516346514,0.1032747847,0.3791000087
0.6543937873,0.2293637571,0.2930919863
0.6032623917,0.2423891346,0.3181876858
0.6699401106,0.1949480712,0.1769783973
0.5873771653,0.0865832183,0.4392532083
0.570962678,0.3257974051,0.3728665829
0.6666425034,0.2122679675,0.3016512256
0.6275046449,0.2378648747,0.3022910127
0.6231319013,0.2975050318,0.2952076081
0.6808230859,0.1828891935,0.3376778295
0.648071781,0.2104336131,0.2912703091
0.6814540866,0.1415258707,0.3745886463
0.5923948253,0.1938553634,0.435658618
0.6830779981,0.2721868446,0.2406248695
0.4538509791,0.3890411721,0.23753652
0.6617911798,0.2231386958,0.2169389886
0.6207449975,0.2043850387,0.3726150486
0.6755269572,0.2064443886,0.2907433802
0.4146538531,0.5056294028,0.157283266
0.647981075,0.1667893209,0.3565404471
0.5644067318,0.2911498476,0.2940787726
0.5819018516,0.1932752956,0.3540982751
0.6504205712,0.2433228691,0.3405277765
0.582913035,0.2695515409,0.3701507154
0.5118680616,0.345488669,0.2693108631
0.6379781709,0.231739559,0.3182939087
0.6341748844,0.110511197,0.4591675007
0.6750890406,0.2185083433,0.3597707693
0.5807657813,0.2442365824,0.3234389373
0.6345117078,0.1602202346,0.3893073787
0.7204021115,0.2057597772,0.2643068829
0.6662568262,0.2549378922,0.2729734419
0.3661329959,0.4610901316,0.3325372476
0.7229929286,0.1614202634,0.3283948365
0.4825232734,0.3911329709,0.2556084597
0.590845161,0.2301883026,0.3236469294
0.6023507265,0.2797787113,0.2692386272
0.6509208443,0.2167309029,0.3212470468
0.6241806431,0.2119046741,0.282414208
0.6612903049,0.237144516,0.2978872862
0.5624108624,0.2535125689,0.1821151225
0.6934552677,0.1900541582,0.3253189907
0.7063405075,0.2064262307,0.2246422276
0.6647546476,0.1967318331,0.3325666749
0.6293827862,0.2402133088,0.1608215181
0.6653580517,0.1883979917,0.2980359357
0.6788789056,0.2508847377,0.2760592031
0.6594773866,0.2190554407,0.3317915289
0.3855346525,0.3751440424,0.397437
0.4155795382,0.4703014353,0.3581916307
0.6393611234,0.234620257,0.3063433721
0.6762938897,0.2141133958,0.3328381624
0.6979873866,0.1891255998,0.2810764424
0.7102800656,0.1164545241,0.4030651107
0.5987484786,0.2053477777,0.3485873276
0.6983423513,0.2208826269,0.289962728
0.5493239836,0.2823546692,0.2423129045
0.562155086,0.2655913369,0.4024305269
0.6587048954,0.2153102998,0.3983618715
0.665352213,0.0871741089,0.2007998315
0.5994809071,0.2224466534,0.3691087561
0.6441519602,0.2649906788,0.2790168858
0.6717077744,0.1825360699,0.2126753191
0.5814382589,0.235247925,0.3161852958
0.6964995802,0.1852360452,0.2686888085
0.5783366466,0.1987502966,0.4027980182
0.6778470816,0.1574635455,0.3321585668
0.7028855679,0.1350358263,0.3368775512
0.7067312129,0.1815392623,0.3069675428
0.6886198594,0.1901943459,0.2742381906
0.6616602906,0.1914853091,0.3006920284
0.6679385745,0.1805172283,0.3180430592
0.5908349673,0.1844468206,0.3596046794
0.5694164716,0.2720581177,0.3290152079
0.6699281867,0.1320542563,0.3635370181
0.61367732,0.271733248,0.228679808
0.5627267211,0.2982688704,0.3254183996
0.5820556885,0.2728412938,0.3281318051
0.6472683815,0.2434216589,0.2750446736
0.7079907237,0.2089023332,0.2740772725
0.6533539367,0.1976099457,0.3268202768
0.6873519011,0.1634649164,0.342140282
0.6494956014,0.2123463342,0.294397799
0.6294772642,0.2342939173,0.2414109005
0.6373802391,0.2231760321,0.3345737801
0.6536006971,0.2650843599,0.222335891
0.7210498905,0.2215281728,0.3010920775
0.553227611,0.302359824,0.3508423172
0.6527862284,0.2238009148,0.2618203047
0.6038824498,0.2845951875,0.2638105393
0.7183141865,0.2143923225,0.3123965263
0.4464763908,0.3477587527,0.2843485406
0.6164688541,0.2075067456,0.2724654781
0.6902146154,0.2276172289,0.2802115755
0.6415815335,0.2579748028,0.2798269379
0.6543956937,0.1499998692,0.3445321332
0.5792326414,0.2954458944,0.3573212343
0.5007438778,0.3065560197,0.2898979467
0.6190601723,0.2586949246,0.3264352438
0.7037995205,0.1986044558,0.3338693273
0.6913694662,0.2203437524,0.2823208112
0.6993672535,0.3334351925,0.2651334228
0.6902721108,0.1750971117,0.2512987963
0.5196581025,0.2189495137,0.5052022947
0.6484928133,0.2564416371,0.2627591677
0.5874361259,0.1499989591,0.4345736854
0.5787848187,0.1865250548,0.3673462738
0.6436261814,0.2337140584,0.3896889163
0.6271041066,0.1846643782,0.393216861
0.5916113663,0.2801713573,0.2945331436
0.7306708004,0.1633318607,0.3458534275
0.6424236996,0.17641754,0.4038429636
0.5605459411,0.3051490073,0.3000496726
0.6685361713,0.1833938842,0.34730968
0.6813631033,0.1762937158,0.3731306882
0.6488394628,0.2058854281,0.3717811851
0.6837529512,0.1419263327,0.3579606539
0.6520691239,0.1905022521,0.4122018671
0.6603576754,0.2091703374,0.3108365026
0.6434431768,0.201157572,0.3679715542
0.6604988016,0.2038001551,0.3419521551
0.4754570494,0.2554402686,0.3890683442
0.6429009909,0.2165375992,0.2893330702
0.679008578,0.2048041799,0.2879391877
0.5788417981,0.2302737835,0.411888345
0.6186846063,0.2109162615,0.4270669399
0.611917325,0.2664264891,0.3553437352
0.6257650942,0.1761771398,0.3628077042
0.5845611526,0.281690244,0.3000758425
0.6786902503,0.129872252,0.4243794912
0.6876663894,0.1847352747,0.2820865614
0.6399547435,0.247678271,0.2969517989
0.5685701523,0.2355559164,0.4087931269
0.5931440289,0.3199860621,0.2001813426
0.6684519581,0.2121717352,0.2990678217
0.6762102797,0.1602581827,0.3661370091
0.6439998105,0.2248949567,0.2586814318
0.5992732813,0.2490069502,0.4030793685
0.6059202164,0.2240638679,0.2783983326
0.6456816444,0.1068204427,0.4153104342
0.6024914672,0.2159807958,0.3228154861
0.657080278,0.1764715786,0.3349966519
0.6535411488,0.2340912855,0.3330221946
0.66129671,0.2450104801,0.3207795192
0.5588955138,0.3031160847,0.3031281568
0.5598162938,0.2466745815,0.2373005619
0.5372751068,0.3235395512,0.3145696229
0.6469204018,0.1995688799,0.3124755238
0.5881105142,0.2773118447,0.2955392669
0.5818259013,0.3443232859,0.2898335555
0.6340386207,0.2147986733,0.3569375307
0.7304859262,0.188436447,0.2401688893
0.6987716302,0.2229850716,0.2265779456
0.6542097463,0.2289396017,0.3071042533
0.6648116712,0.2154287695,0.2278549023
0.6577209712,0.2635764544,0.2768414576
0.6757986125,0.1886009269,0.2887174255
0.5824291214,0.2482509608,0.3714417667
0.5691829249,0.2543937359,0.3659777233
0.8049607558,0.1742365201,0.2854904492
0.6589424655,0.2095436055,0.2392736251
0.6355024799,0.2732800386,0.3365494931
0.5664475624,0.2502697606,0.2727058144
0.6090311159,0.3163796797,0.2909324442
0.6903557222,0.1739220471,0.294870599
0.5081984471,0.2510873687,0.4323002351
0.5512913522,0.2595562797,0.3979037548
0.5864637203,0.2866377726,0.204880236
0.6327577722,0.2302368924,0.335436205
0.6896766125,0.219456345,0.2393004375
0.5854602497,0.1194699781,0.505832738
0.7002831082,0.0646446021,0.2705298966
0.5989749589,0.1966349052,0.3415720174
0.5464940317,0.2015931448,0.3903038094
0.6442894653,0.1967874042,0.3442789737
0.3817210473,0.4552294426,0.3131775141
0.5300802727,0.3236153527,0.2927353312
0.6363131617,0.2473359102,0.295602516
0.6361789234,0.1499754692,0.3048297708
0.5391513014,0.2251454209,0.4289810637
0.5119862205,0.2046185963,0.4560548337
0.6207326901,0.1605499499,0.3874044926
0.6223632927,0.1806026474,0.4028222146
0.5740530098,0.2404724362,0.3353840813
0.5972776585,0.2293510661,0.3846734405
0.6334067031,0.1938911071,0.3080088714
0.6512828037,0.2011900855,0.3021149156
0.5963350834,0.2640760209,0.3126950996
0.3988012281,0.3831058663,0.3912188425
0.6543381221,0.1665453716,0.3136021527
0.4993190411,0.3469995371,0.3922865256
0.6819495175,0.2030897599,0.347689371
0.7339198006,0.135319066,0.3456081044
0.6588142628,0.1966004624,0.2310798143
0.6938609814,0.253325188,0.2355548066
0.642353635,0.1832551222,0.3505085038
0.6728608915,0.1610188216,0.3513897191
0.5862478641,0.2459161053,0.2964934999
0.5827963874,0.2345672578,0.1942891215
0.5959543131,0.2763164577,0.2219450369
0.4935186656,0.1826264358,0.4668108161
0.6245631875,0.2533156079,0.2478600927
0.6658912405,0.2318845558,0.3369546536
0.3650865141,0.4656562706,0.3477720057
0.6177801554,0.1690077953,0.3631337014
0.6579840931,0.1323218554,0.4249703552
0.573942926,0.2055121581,0.3980496976
0.6371787359,0.2406119543,0.319896567
0.4806287659,0.3325847691,0.312426215
0.499951902,0.3568779872,0.2689129991
0.6582188977,0.204322432,0.3479898294
0.5552085205,0.2909941966,0.3565850459
0.5811909288,0.2443987602,0.315897731
0.5351944826,0.3091515447,0.349964999
0.6759480432,0.215421199,0.3518394933
0.5950873162,0.2337854298,0.3271053536
0.6635839358,0.1772977176,0.3442527093
0.7098893547,0.230845525,0.2678713621
0.675644004,0.1758384553,0.2990912311
0.5887392229,0.2964647747,0.2878109558
0.5321810943,0.3222404318,0.3444343861
0.6438439981,0.2531233596,0.3571109877
0.6263522485,0.2080197031,0.335939336
0.6085037509,0.2904052398,0.3593626062
0.6112337983,0.2775813531,0.3319609173
0.6281490014,0.2427056687,0.2852018255
0.507878316,0.3088214814,0.3528049614
0.6129988064,0.2217961905,0.3850773199
0.6034749132,0.1991832597,0.3861150315
0.6124530883,0.2762485036,0.2805953551
0.5730733671,0.2568506677,0.3970419849
0.60786898,0.2599528568,0.3193629182
0.6601481391,0.2489995008,0.3383569127
0.5481890141,0.2235187052,0.3672415868
0.5582236508,0.2993358208,0.291498386
0.5212092774,0.2115568598,0.4234658239
0.6060470206,0.2281554347,0.3979223072
0.5739174257,0.2413759299,0.4151779603
0.5175943672,0.3350963225,0.348178903
0.5715609208,0.2619823142,0.4038834938
0.6603814277,0.1852506837,0.363072653
0.6899998113,0.0797973816,0.4572039309
0.6476479413,0.2677269585,0.4085160668
0.5968648231,0.22868811,0.3535935485
0.6007732339,0.226834373,0.3571132193
0.6287957999,0.2689242637,0.377893905
0.657056608,0.1994173363,0.3735881445
0.6507468843,0.2246579594,0.2769036213
0.5831560359,0.2537806498,0.2827847683
0.6550155792,0.270219679,0.2930750649
0.6040662292,0.2337183506,0.3550492401
0.6084214058,0.2302888104,0.3469342591
0.6390350706,0.2572241434,0.2882216623
0.6433926432,0.2067830486,0.3460737783
0.6241776619,0.2586573411,0.4053523222
0.6325216557,0.2110970746,0.3315086632
0.6412077168,0.2223992205,0.3047673555
0.6110544233,0.2710431725,0.2745086279
0.616927451,0.2361738763,0.3198413414
0.6826603154,0.1751796086,0.365389784
0.6170511126,0.2014702924,0.3852873869
0.6091621373,0.219170212,0.3642705576
0.6168805172,0.2332816108,0.3131737481
0.5949440407,0.2455579681,0.2700522817
0.6196457336,0.2032671407,0.3368009523
0.6135097501,0.2059950302,0.4471680492
0.5661029239,0.289352264,0.2755374945
0.645079892,0.2445972035,0.312853036
0.5759437351,0.2072256485,0.3622627192
0.6432264386,0.2266999557,0.3986776902
0.607751738,0.2273205333,0.4279272863
0.5319009236,0.2575194969,0.3741023281
0.5953888487,0.2760971713,0.3134210072
0.6067973103,0.2536917738,0.3519964055
0.6490639636,0.2334590417,0.3223660813
0.6126175378,0.2499822856,0.2499503291
0.5971669685,0.2714526409,0.386863854
0.6846114024,0.2314279959,0.2779189974
0.6755391654,0.1959441602,0.3120758011
0.6150731853,0.2483489869,0.2793857665
0.5774587488,0.2286350837,0.3834685341
0.5253962216,0.3175939099,0.2753218029
0.556074481,0.2964311138,0.2984804733
0.5543153959,0.2936799328,0.2991803781
0.6646973776,0.2075095221,0.3437217244
0.6476681584,0.2317217788,0.3073425311
0.6944830722,0.2275296458,0.3128637213
0.6474328743,0.2615467756,0.3469579305
0.6463797572,0.231381926,0.3357716282
0.6018258317,0.2570089776,0.3256982053
0.6209658848,0.2200213863,0.371244584
0.6838652246,0.199247707,0.2626613319
0.6676611254,0.2267561708,0.3298336607
0.612334262,0.2340520612,0.3457858839
0.5914609792,0.2308537696,0.2888545262
0.6382181456,0.2525112238,0.3291623778
0.607398865,0.2816457375,0.3123381509
0.695481975,0.2151099209,0.319763672
0.5889448148,0.2916741302,0.3270095296
0.6847480173,0.171799505,0.3226490404
0.6762098308,0.2549116417,0.3031730118
0.6366256261,0.2578824806,0.3000792354
0.6678005531,0.219946753,0.3911865991
0.7086737563,0.1834791197,0.3450787879
0.6414203492,0.2703006781,0.2708754489
